# 2019/04/14 - 15:41 | PDB: 15.19 | UniProt: 2019.04
PDB	CHAIN	TAX_ID	SCIENTIFIC_NAME
101m	A	9755	PHYMC
101m	A	9755	Physeter catodon
101m	A	9755	Physeter catodon Linnaeus, 1758
101m	A	9755	Physeter macrocephalus
101m	A	9755	Physeter macrocephalus (Sperm whale) (Physeter catodon)
101m	A	9755	Sperm whale
101m	A	9755	sperm whale
102l	A	10665	BPT4
102l	A	10665	Bacteriophage T4
102l	A	10665	Enterobacteria phage T4
102l	A	10665	Enterobacteria phage T4 (Bacteriophage T4)
102l	A	10665	Escherichia virus T4
102l	A	10665	T4
102l	A	10665	coliphage T4
102l	A	10665	phage T4
102m	A	9755	PHYMC
102m	A	9755	Physeter catodon
102m	A	9755	Physeter catodon Linnaeus, 1758
102m	A	9755	Physeter macrocephalus
102m	A	9755	Physeter macrocephalus (Sperm whale) (Physeter catodon)
102m	A	9755	Sperm whale
102m	A	9755	sperm whale
103l	A	10665	BPT4
103l	A	10665	Bacteriophage T4
103l	A	10665	Enterobacteria phage T4
103l	A	10665	Enterobacteria phage T4 (Bacteriophage T4)
103l	A	10665	Escherichia virus T4
103l	A	10665	T4
103l	A	10665	coliphage T4
103l	A	10665	phage T4
103m	A	9755	PHYMC
103m	A	9755	Physeter catodon
103m	A	9755	Physeter catodon Linnaeus, 1758
103m	A	9755	Physeter macrocephalus
103m	A	9755	Physeter macrocephalus (Sperm whale) (Physeter catodon)
103m	A	9755	Sperm whale
103m	A	9755	sperm whale
104l	A	10665	BPT4
104l	A	10665	Bacteriophage T4
104l	A	10665	Enterobacteria phage T4
104l	A	10665	Enterobacteria phage T4 (Bacteriophage T4)
104l	A	10665	Escherichia virus T4
104l	A	10665	T4
104l	A	10665	coliphage T4
104l	A	10665	phage T4
104l	B	10665	BPT4
104l	B	10665	Bacteriophage T4
104l	B	10665	Enterobacteria phage T4
104l	B	10665	Enterobacteria phage T4 (Bacteriophage T4)
104l	B	10665	Escherichia virus T4
104l	B	10665	T4
104l	B	10665	coliphage T4
104l	B	10665	phage T4
104m	A	9755	PHYMC
104m	A	9755	Physeter catodon
104m	A	9755	Physeter catodon Linnaeus, 1758
104m	A	9755	Physeter macrocephalus
104m	A	9755	Physeter macrocephalus (Sperm whale) (Physeter catodon)
104m	A	9755	Sperm whale
104m	A	9755	sperm whale
105m	A	9755	PHYMC
105m	A	9755	Physeter catodon
105m	A	9755	Physeter catodon Linnaeus, 1758
105m	A	9755	Physeter macrocephalus
105m	A	9755	Physeter macrocephalus (Sperm whale) (Physeter catodon)
105m	A	9755	Sperm whale
105m	A	9755	sperm whale
106m	A	9755	PHYMC
106m	A	9755	Physeter catodon
106m	A	9755	Physeter catodon Linnaeus, 1758
106m	A	9755	Physeter macrocephalus
106m	A	9755	Physeter macrocephalus (Sperm whale) (Physeter catodon)
106m	A	9755	Sperm whale
106m	A	9755	sperm whale
107l	A	10665	BPT4
107l	A	10665	Bacteriophage T4
107l	A	10665	Enterobacteria phage T4
107l	A	10665	Enterobacteria phage T4 (Bacteriophage T4)
107l	A	10665	Escherichia virus T4
107l	A	10665	T4
107l	A	10665	coliphage T4
107l	A	10665	phage T4
107m	A	9755	PHYMC
107m	A	9755	Physeter catodon
107m	A	9755	Physeter catodon Linnaeus, 1758
107m	A	9755	Physeter macrocephalus
107m	A	9755	Physeter macrocephalus (Sperm whale) (Physeter catodon)
107m	A	9755	Sperm whale
107m	A	9755	sperm whale
108l	A	10665	BPT4
108l	A	10665	Bacteriophage T4
108l	A	10665	Enterobacteria phage T4
108l	A	10665	Enterobacteria phage T4 (Bacteriophage T4)
108l	A	10665	Escherichia virus T4
108l	A	10665	T4
108l	A	10665	coliphage T4
108l	A	10665	phage T4
108m	A	9755	PHYMC
108m	A	9755	Physeter catodon
108m	A	9755	Physeter catodon Linnaeus, 1758
108m	A	9755	Physeter macrocephalus
108m	A	9755	Physeter macrocephalus (Sperm whale) (Physeter catodon)
108m	A	9755	Sperm whale
108m	A	9755	sperm whale
109l	A	10665	BPT4
109l	A	10665	Bacteriophage T4
109l	A	10665	Enterobacteria phage T4
